,Year,Title
0,1912.0,All for a Girl
1,1924.0,Girl Shy
2,1927.0,Ten Modern Commandments
3,1930.0,Holiday
4,1931.0,City Lights
5,1932.0,Trouble in Paradise
6,1933.0,One Sunday Afternoon
7,1934.0,It Happened One Night
8,1936.0,Libeled Lady
9,1936.0,My Man Godfrey
10,1937.0,The Awful Truth
11,1937.0,Easy Living
12,1938.0,Bringing Up Baby
13,1938.0,Holiday
14,1938.0,The Mad Miss Manton
15,1939.0,Ninotchka
16,1939.0,Bachelor Mother
17,1940.0,The Philadelphia Story
18,1940.0,I Love You Again
19,1940.0,The Shop Around the Corner
20,1941.0,Ball of Fire
21,1941.0,Here Comes Mr. Jordan
22,1941.0,The Lady Eve
23,1941.0,The Strawberry Blonde
24,1942.0,Woman of the Year
25,1944.0,Cover Girl
26,1945.0,Christmas in Connecticut
27,1946.0,Cluny Brown
28,1947.0,The Bishop's Wife
29,1947.0,Down to Earth
30,1948.0,A Song Is Born
31,1949.0,Adam's Rib
32,1950.0,Born Yesterday
33,1952.0,Pat and Mike
34,1952.0,The Quiet Man
35,1953.0,Gentlemen Prefer Blondes
36,1953.0,How to Marry a Millionaire
37,1953.0,Roman Holiday
38,1954.0,Sabrina
39,1955.0,The Seven Year Itch
40,1956.0,High Society
41,1957.0,Desk Set
42,1957.0,Love in the Afternoon
43,1957.0,My Man Godfrey
44,1958.0,Houseboat
45,1959.0,Pillow Talk
46,1959.0,Some Like It Hot
47,1960.0,The Apartment
48,1961.0,Breakfast at Tiffany's
49,1962.0,That Touch of Mink
50,1963.0,Irma La Douce
51,1967.0,Barefoot in the Park
52,1967.0,The Graduate
53,1968.0,Sweet November
54,1969.0,Paint Your Wagon
55,1970.0,The Owl and the Pussycat
56,1971.0,Harold and Maude
57,1972.0,Play It Again Sam
58,1973.0,Blume in Love
59,1977.0,Annie Hall
60,1979.0,Manhattan
61,1981.0,Arthur
62,1982.0,Tootsie
63,1984.0,Romancing the Stone
64,1984.0,Splash
65,1985.0,Better Off Dead
66,1985.0,Mischief
67,1985.0,The Purple Rose of Cairo
68,1985.0,The Jewel of the Nile
69,1986.0,Under The Cherry Moon
70,1986.0,One Crazy Summer
71,1986.0,Pretty in Pink
72,1987.0,Baby Boom
73,1987.0,Broadcast News
74,1987.0,Can't Buy Me Love
75,1987.0,Mannequin
76,1987.0,Moonstruck
77,1987.0,Overboard
78,1987.0,The Princess Bride
79,1988.0,Crossing Delancey
80,1988.0,Coming to America
81,1988.0,Earth Girls Are Easy
82,1988.0,Working Girl
83,1989.0,Say Anything...
84,1989.0,When Harry Met Sally...
85,1990.0,Green Card
86,1990.0,Pretty Woman
87,1991.0,Doc Hollywood
88,1992.0,Boomerang
89,1992.0,The Cutting Edge
90,1993.0,Born Yesterday
91,1993.0,Much Ado About Nothing
92,1993.0,Sleepless in Seattle
93,1994.0,Only You
94,1995.0,Clueless
95,1995.0,French Kiss
96,1995.0,Mighty Aphrodite
97,1995.0,Nine Months
98,1995.0,Sabrina
99,1995.0,While You Were Sleeping
100,1996.0,One Fine Day
101,1996.0,Mrs. Winterbourne
102,1996.0,The Pallbearer
103,1996.0,Tin Cup
104,1996.0,The Truth About Cats & Dogs
105,1997.0,As Good as It Gets
106,1997.0,Chasing Amy
107,1997.0,Fools Rush In
108,1997.0,In & Out
109,1997.0,The Matchmaker
110,1997.0,My Best Friend's Wedding
111,1997.0,Out to Sea
112,1997.0,Picture Perfect
113,1998.0,How Stella Got Her Groove Back
114,1998.0,Overnight Delivery
115,1998.0,There's Something About Mary
116,1998.0,The Wedding Singer
117,1998.0,You've Got Mail
118,1999.0,10 Things I Hate About You
119,1999.0,American Pie
120,1999.0,The Bachelor
121,1999.0,The Best Man
122,1999.0,Forces of Nature
123,1999.0,Never Been Kissed
124,1999.0,Runaway Bride
125,1999.0,She's All That
126,1999.0,Three to Tango
127,2000.0,Coyote Ugly
128,2000.0,Keeping the Faith
129,2000.0,Return to Me
130,2000.0,What Women Want
131,2001.0,America's Sweethearts
132,2001.0,Bridget Jones's Diary
133,2001.0,The Brothers
134,2001.0,Get Over It
135,2001.0,Head over Heels
136,2001.0,Heartbreakers
137,2001.0,Kate & Leopold
138,2001.0,Summer Catch
139,2001.0,Serendipity
140,2001.0,Shallow Hal
141,2001.0,Someone Like You
142,2001.0,Two Can Play That Game
143,2001.0,The Wedding Planner
144,2002.0,Brown Sugar
145,2002.0,Maid in Manhattan
146,2002.0,My Big Fat Greek Wedding
147,2002.0,Sweet Home Alabama
148,2002.0,Secretary
149,2002.0,The Sweetest Thing
150,2002.0,Two Weeks Notice
151,2003.0,Deliver Us from Eva
152,2003.0,Down with Love
153,2003.0,The Fighting Temptations
154,2003.0,How to Lose a Guy in 10 Days
155,2003.0,Just Married
156,2003.0,Love Actually
157,2003.0,Something's Gotta Give
158,2003.0,Under the Tuscan Sun
159,2003.0,What a Girl Wants
160,2004.0,13 Going on 30
161,2004.0,50 First Dates
162,2004.0,Along Came Polly
163,2004.0,Bride and Prejudice
164,2004.0,Bridget Jones: The Edge of Reason
165,2004.0,Chasing Liberty
166,2004.0,A Cinderella Story
167,2004.0,Eating Out
168,2004.0,The Prince and Me
169,2004.0,The Princess Diaries 2: Royal Engagement
170,2004.0,Surviving Christmas
171,2004.0,Shrek 2
172,2004.0,Win a Date with Tad Hamilton!
173,2005.0,The 40-Year-Old Virgin
174,2005.0,Fever Pitch
175,2005.0,Hitch
176,2005.0,Imagine Me & You
177,2005.0,Just Friends
178,2005.0,Just like Heaven
179,2005.0,Little Manhattan
180,2005.0,A Lot like Love
181,2005.0,Monster-in-Law
182,2005.0,Must Love Dogs
183,2005.0,Rumor Has It
184,2005.0,Wedding Crashers
185,2005.0,The Wedding Date
186,2006.0,The Break-Up
187,2006.0,Eating Out 2: Sloppy Seconds
188,2006.0,Failure to Launch
189,2006.0,The Holiday
190,2006.0,John Tucker Must Die
191,2006.0,Just My Luck
192,2006.0,Last Holiday
193,2006.0,She's the Man
194,2006.0,"You, Me and Dupree"
195,2007.0,Because I Said So
196,2007.0,Enchanted
197,2007.0,Good Luck Chuck
198,2007.0,Hairspray
199,2007.0,The Heartbreak Kid
200,2007.0,Shrek 3
201,2007.0,I Think I Love My Wife
202,2007.0,Knocked Up
203,2007.0,Music and Lyrics
204,2007.0,Sydney White
205,2008.0,27 Dresses
206,2008.0,The Accidental Husband
207,2008.0,"Definitely, Maybe"
208,2008.0,Fool's Gold
209,2008.0,Forgetting Sarah Marshall
210,2008.0,Made of Honor
211,2008.0,Mamma Mia!
212,2008.0,Management
213,2008.0,My Best Friend's Girl
214,2008.0,Nick & Norah's Infinite Playlist
215,2008.0,The Other End of the Line
216,2008.0,Over Her Dead Body
217,2008.0,Picture This
218,2008.0,Sex and the City
219,2008.0,What Happens in Vegas
220,2008.0,Yes Man
221,2008.0,Zack and Miri Make a Porno
222,2009.0,500 Days of Summer
223,2009.0,American Pie Presents: The Book of Love
224,2009.0,Bride Wars
225,2009.0,Confessions of a Shopaholic
226,2009.0,Couples Retreat
227,2009.0,Did You Hear About the Morgans?
228,2009.0,Duplicity
229,2009.0,Eating Out 3: All You Can Eat
230,2009.0,Ghosts of Girlfriends Past
231,2009.0,He's Just Not That into You
232,2009.0,I Hate Valentine's Day
233,2009.0,I Love You Beth Cooper
234,2009.0,It's Complicated
235,2009.0,My Life in Ruins
236,2009.0,Play the Game
237,2009.0,The Proposal
238,2009.0,The Rebound
239,2009.0,The Ugly Truth
240,2010.0,The Back-up Plan
241,2010.0,The Bounty Hunter
242,2010.0,Easy A
243,2010.0,Going the Distance
244,2010.0,How Do You Know
245,2010.0,Just Wright
246,2010.0,Killers
247,2010.0,Leap Year
248,2010.0,Letters to Juliet
249,2010.0,Life as We Know It
250,2010.0,Scott Pilgrim vs. the World
251,2010.0,Sex and the City 2
252,2010.0,She's Out of My League
253,2010.0,Shrek 4
254,2010.0,The Switch
255,2010.0,Valentine's Day
256,2010.0,When in Rome
257,2011.0,The Change-Up
258,2011.0,"Crazy, Stupid, Love"
259,2011.0,Eating Out: Drama Camp
260,2011.0,Friends with Benefits
261,2011.0,From Prada to Nada
262,2011.0,I Don't Know How She Does It
263,2011.0,Just Go with It
264,2011.0,Larry Crowne
265,2011.0,Midnight In Paris
266,2011.0,New Year's Eve
267,2011.0,No Strings Attached
268,2011.0,Something Borrowed
269,2011.0,Take Me Home Tonight
270,2011.0,What's Your Number?
271,2012.0,American Reunion
272,2012.0,Eating Out 5: The Open Weekend
273,2012.0,Exit Strategy
274,2012.0,The Five-Year Engagement
275,2012.0,Friends with Kids
276,2012.0,One Small Hitch
277,2012.0,Playing for Keeps
278,2012.0,Ruby Sparks
279,2012.0,Silver Linings Playbook
280,2012.0,The Skinny
281,2012.0,Thanks for Sharing
282,2012.0,Think Like a Man
283,2012.0,This Means War
284,2013.0,Admission
285,2013.0,Baggage Claim
286,2013.0,Don Jon
287,2013.0,Warm Bodies
288,2014.0,About Last Night
289,2014.0,Blended
290,2014.0,Laggies
291,2014.0,Lust for Love
292,2014.0,Magic in the Moonlight
293,2014.0,Obvious Child
294,2014.0,Playing It Cool
295,2014.0,That Awkward Moment
296,2014.0,The Fault In Our Stars
297,2015.0,Mr. Right
298,2015.0,Sleeping with Other People
299,2015.0,Trainwreck
300,2016.0,Bridget Jones's Baby
301,2016.0,How to Be Single
302,2017.0,The Big Sick
303,2018.0,Alex Strangelove
304,2018.0,Crazy Rich Asians
305,2018.0,The Kissing Booth
306,2018.0,"Love, Simon"
307,2018.0,Nappily Ever After
308,2018.0,Nobody’s Fool
309,2018.0,Set It Up
310,2018.0,To All the Boys I've Loved Before
311,2018.0,When We First Met
312,2019.0,Always Be My Maybe
313,2019.0,Good Sam
314,2019.0,Isn’t It Romantic
315,2019.0,Long Shot
316,2019.0,The Perfect Date
317,2019.0,A Rainy Day in New York
318,2019.0,Someone Great
319,2019.0,Tall Girl
320,2019.0,What Men Want
321,2020.0,Happiest Season
322,2020.0,Holidate
323,2020.0,"Love, Guaranteed"
324,2020.0,The Lovebirds
325,2020.0,Palm Springs
326,2020.0,The Photograph
327,2020.0,A Simple Wedding
328,2020.0,The Thing About Harry
329,2020.0,To All the Boys: P.S. I Still Love You
330,2021.0,He's All That
