".State","Census","Estimates Base","2013"
".Alabama","4,779,736","4,779,758","4,833,722"
".Alaska","710,231","710,231","735,132"
".Arizona","6,392,017","6,392,015","6,626,624"
".Arkansas","2,915,918","2,915,916","2,959,373"
".California","37,253,956","37,253,959","38,332,521"
".Colorado","5,029,196","5,029,196","5,268,367"
".Connecticut","3,574,097","3,574,097","3,596,080"
".Delaware","897,934","897,936","925,749"
".District of Columbia","601,723","601,767","646,449"
".Florida","18,801,310","18,802,690","19,552,860"
".Georgia","9,687,653","9,687,663","9,992,167"
".Hawaii","1,360,301","1,360,301","1,404,054"
".Idaho","1,567,582","1,567,652","1,612,136"
".Illinois","12,830,632","12,830,632","12,882,135"
".Indiana","6,483,802","6,483,797","6,570,902"
".Iowa","3,046,355","3,046,857","3,090,416"
".Kansas","2,853,118","2,853,116","2,893,957"
".Kentucky","4,339,367","4,339,357","4,395,295"
".Louisiana","4,533,372","4,533,372","4,625,470"
".Maine","1,328,361","1,328,361","1,328,302"
".Maryland","5,773,552","5,773,623","5,928,814"
".Massachusetts","6,547,629","6,547,629","6,692,824"
".Michigan","9,883,640","9,883,701","9,895,622"
".Minnesota","5,303,925","5,303,925","5,420,380"
".Mississippi","2,967,297","2,967,299","2,991,207"
".Missouri","5,988,927","5,988,923","6,044,171"
".Montana","989,415","989,417","1,015,165"
".Nebraska","1,826,341","1,826,341","1,868,516"
".Nevada","2,700,551","2,700,552","2,790,136"
".New Hampshire","1,316,470","1,316,469","1,323,459"
".New Jersey","8,791,894","8,791,909","8,899,339"
".New Mexico","2,059,179","2,059,183","2,085,287"
".New York","19,378,102","19,378,105","19,651,127"
".North Carolina","9,535,483","9,535,471","9,848,060"
".North Dakota","672,591","672,591","723,393"
".Ohio","11,536,504","11,536,503","11,570,808"
".Oklahoma","3,751,351","3,751,357","3,850,568"
".Oregon","3,831,074","3,831,073","3,930,065"
".Pennsylvania","12,702,379","12,702,379","12,773,801"
".Rhode Island","1,052,567","1,052,567","1,051,511"
".South Carolina","4,625,364","4,625,360","4,774,839"
".South Dakota","814,180","814,180","844,877"
".Tennessee","6,346,105","6,346,113","6,495,978"
".Texas","25,145,561","25,145,561","26,448,193"
".Utah","2,763,885","2,763,885","2,900,872"
".Vermont","625,741","625,745","626,630"
".Virginia","8,001,024","8,001,031","8,260,405"
".Washington","6,724,540","6,724,543","6,971,406"
".West Virginia","1,852,994","1,852,999","1,854,304"
".Wisconsin","5,686,986","5,686,983","5,742,713"
".Wyoming","563,626","563,626","582,658"
